,스토리지(infotrend),,\\172.16.1.62\files\\indata_drving\,스냅샷을 위해서 전체포맷 예정,,,,,,,,,,,,,,,,,,
,폴더명,,설명,비고,,,,,,,,,,,,,,,,,,
,01_DrivingPlate_Library_h265,,드라이빙플레이트 H265 모음,260203 기준 80개 보유,,,,,,,,,,,,,,,,,,
,02_DrivingPlate_Library_nclc,,드라이빙플레이트 NotchLC 모음,260203 기준 80개 보유,,,,,,,,,,,,,,,,,,
,11_AME_Watch,,Adobe Media Encoder 감시폴더,,,,,,,,,,,,,,,,,,,
,12_AME_Output,,Adobe Media Encoder 변환폴더,,,,,,,,,,,,,,,,,,,
,스토리지(Qumulo),,\\172.16.1.31\files\\indata\2_DrivingPlate,,,,,,,,,,,,,,,,,,,
,폴더명,,설명,비고,,,,,,,,,,,,,,,,,,
,01_DrivingPlate_Original,,드라이빙플레이트 원본소스,,,,,,,,,,,,,,,,,,,
,01_DrivingPlate_Test Source,,드라이빙 테스트 촬영 소스,,,,,,,,,,,,,,,,,,,
,02_DrivingPlate_ing,,드라이빙 파일 분류 및 컨버팅 작업용,,,,,,,,,,,,,,,,,,,
,03_DrivingPlate_Library_h265,,드라이빙플레이트 H265 모음,,,,,,,,,,,,,,,,,,,
,02_DrivingPlate_Library_nclc,,드라이빙플레이트 NotchLC 모음,55tb 임시 백업 진행중,,,,,,,,,,,,,,,,,,
,05_DrivingPlate_SW,,"LUT,파일일괄변경,개발툴 등",,,,,,,,,,,,,,,,,,,
,06_DrivingPlate_Multiview,,멀티뷰어 보관,1 보유소스 멀티뷰어 전체제작(frame.io&youtube),,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
번호,04_DrivingPlate_Library 보유 현황,,촬영 및 LUT,영상길이,편집가능시간대,편집 진행사항,"리플렉션
46,251021_N16_서울세관-역삼역_24p,V-log,덱스터(V-log),0:01:27,,,360 & TOP,60p 프레임보간 및 안정화 작업 필요,버라이어티,밤,,251021_N16_서울세관-역삼역_24pV-Log to V-709_multiview.,,,,,,,,,,
47,251104_D05 학동 주택가_24p,V-log,덱스터(V-log),0:02:59,,,360 & TOP,60p 프레임보간 및 안정화 작업 필요,버라이어티,낮,,251104_D05 학동 주택가_24pV-Log to V-709_multiview.,,,,,,,,,,
48,251104_D09 학동 가구거리 동향_24p,V-log,덱스터(V-log),0:01:20,,,360 & TOP,60p 프레임보간 및 안정화 작업 필요,버라이어티,낮,,251104_D09 학동 가구거리 동향_24pV-Log to V-709_multiview.,,,,,,,,,,
49,251104_D10 학동 가구거리 서향_24p,V-log,덱스터(V-log),0:01:23,,,360 & TOP,60p 프레임보간 및 안정화 작업 필요,버라이어티,낮,,251104_D10 학동 가구거리 서향_24pV-Log to V-709_multiview.,,,,,,,,,,
50,251104_D16 삼성로 남향_24p,V-log,덱스터(V-log),0:01:36,,,360 & TOP,60p 프레임보간 및 안정화 작업 필요,버라이어티,낮,,251104_D16 삼성로 남향_24pV-Log to V-709_multiview.,,,,,,,,,,
51,251104_D18 삼성로 북향_24p,V-log,덱스터(V-log),0:01:46,,,360 & TOP,60p 프레임보간 및 안정화 작업 필요,버라이어티,낮,,251104_D18 삼성로 북향_24pV-Log to V-709_multiview.,,,,,,,,,,
52,251104_D21 영동대교 남향_24p,V-log,덱스터(V-log),0:03:04,,,360 & TOP,60p 프레임보간 및 안정화 작업 필요,버라이어티,낮,,251104_D21 영동대교 남향_24pV-Log to V-709_multiview.,,,,,,,,,,
53,251104_D22 영동대교 북향_24p,V-log,덱스터(V-log),0:02:28,,,360 & TOP,60p 프레임보간 및 안정화 작업 필요,버라이어티,낮,,251104_D22 영동대교 북향_24pV-Log to V-709_multiview.,,,,,,,,,,
54,251104_D27 송도 바이오대로_24p,V-log,덱스터(V-log),0:01:52,,,TOP,,버라이어티,낮,,251104_D27 송도 바이오대로_24pV-Log to V-709_multiview.,,,,,,,,,,
55,251104_MH30 송도 바이오대로_24p,V-log,덱스터(V-log),0:01:19,,,TOP,,버라이어티,매직아워,,251104_MH30 송도 바이오대로_24pV-Log to V-709_multiview.,,,,,,,,,,
56,251104_N31_송도 바이오대로_24p,V-log,덱스터(V-log),0:01:17,,,TOP,,버라이어티,밤,,251104_N31_송도 바이오대로_24pV-Log to V-709_multiview.,,,,,,,,,,
57,251104_N39_마곡중앙로 남향_24p,V-log,덱스터(V-log),0:01:09,,,360 & TOP,60p 프레임보간 및 안정화 작업 필요,"버라이어티
최애의 사원_260224",밤,,251104_N39_마곡중앙로 남향_24pV-Log to V-709_multiview.,,,,,,,,,,
